country,year,accessibility_percentage
BTN,2011,93.54562
BTN,2012,94.3781
BTN,2013,95.19118
BTN,2014,95.98522
BTN,2015,96.81251
BTN,2016,97.20763
BTN,2017,97.23338
BOL,2000,79.47904
BOL,2001,80.39053
BOL,2002,81.27538
BOL,2003,82.14623
BOL,2004,83.00706
BOL,2005,83.85716
BOL,2006,84.69763
BOL,2007,85.52747
BOL,2008,86.34769
BOL,2009,87.15479
BOL,2010,87.91364
BOL,2011,88.6619
BOL,2012,89.39959
BOL,2013,90.11292
BOL,2014,90.80893
BOL,2015,91.49683
BOL,2016,92.1769
BOL,2017,92.84873
BIH,2000,97.2697
BIH,2001,97.22156
BIH,2002,97.17081
BIH,2003,97.11742
BIH,2004,97.06139
BIH,2005,97.00271
BIH,2006,96.94138
BIH,2007,96.8774
BIH,2008,96.81075
BIH,2009,96.74146
BIH,2010,96.66949
BIH,2011,96.59486
BIH,2012,96.45003
BIH,2013,96.35201
BIH,2014,96.16813
BIH,2015,96.15984
BIH,2016,96.15126
BIH,2017,96.14236
BWA,2000,75.19897
BWA,2001,75.54352
BWA,2002,75.75011
BWA,2003,75.9352
BWA,2004,76.11861
BWA,2005,76.29915
BWA,2006,77.40119
BWA,2007,78.88605
BWA,2008,80.32352
BWA,2009,81.71011
BWA,2010,83.04817
BWA,2011,84.33698
BWA,2012,85.42284
BWA,2013,86.45559
BWA,2014,87.46342
BWA,2015,88.44628
BWA,2016,89.40444
BWA,2017,90.33772
BRA,2000,93.65429
BRA,2001,93.95515
BRA,2002,94.24261
BRA,2003,94.52402
BRA,2004,94.79925
BRA,2005,95.06841
BRA,2006,95.33183
BRA,2007,95.58958
BRA,2008,95.84179
BRA,2009,96.08819
BRA,2010,96.32925
BRA,2011,96.56647
BRA,2012,96.79839
BRA,2013,97.02485
BRA,2014,97.24637
BRA,2015,97.60592
BRA,2016,97.84798
BRA,2017,98.19339
BRN,2000,99.90001
BRN,2001,99.90001
BRN,2002,99.90001
BRN,2003,99.90001
BRN,2004,99.90001
BRN,2005,99.90001
BRN,2006,99.90001
BRN,2007,99.90001
BRN,2008,99.90001
BRN,2009,99.90001
BRN,2010,99.90001
BRN,2011,99.90001
BRN,2012,99.90001
BRN,2013,99.90001
BRN,2014,99.90001
BRN,2015,99.90001
BRN,2016,99.90001
BRN,2017,99.90001
BGR,2000,99.74083
BGR,2001,99.74168
BGR,2002,99.73834
BGR,2003,99.71145
BGR,2004,99.66514
BGR,2005,99.61935
BGR,2006,99.57405
BGR,2007,99.52925
BGR,2008,99.48495
BGR,2009,99.44113
BGR,2010,99.3978
BGR,2011,99.35493
BGR,2012,99.31258
BGR,2013,99.27072
BGR,2014,99.22936
BGR,2015,99.18851
BGR,2016,99.14818
BGR,2017,99.10835
BFA,2000,54.91951
BFA,2001,55.08078
BFA,2002,54.57504
BFA,2003,54.08577
BFA,2004,53.61477
BFA,2005,53.16201
BFA,2006,52.72937
BFA,2007,52.26617
BFA,2008,51.77521
BFA,2009,51.29434
BFA,2010,50.8247
BFA,2011,50.36684
BFA,2012,49.92089
BFA,2013,49.48737
BFA,2014,49.06718
BFA,2015,48.66046
BFA,2016,48.26772
BFA,2017,47.88813
BDI,2000,50.66312
BDI,2001,51.23447
BDI,2002,51.80933
BDI,2003,52.38733
BDI,2004,52.96843
BDI,2005,53.55263
BDI,2006,54.14023
BDI,2007,54.73087
BDI,2008,55.3252
BDI,2009,55.92218
BDI,2010,56.52312
BDI,2011,57.12766
BDI,2012,57.73544
BDI,2013,58.34741
BDI,2014,58.96254
BDI,2015,59.58147
BDI,2016,60.20415
BDI,2017,60.83055
CPV,2000,78.77496
CPV,2001,78.95663
CPV,2002,79.13641
CPV,2003,79.31384
CPV,2004,79.82119
CPV,2005,80.33575
CPV,2006,80.85796
CPV,2007,81.38723
CPV,2008,81.92402
CPV,2009,82.46719
CPV,2010,83.01506
CPV,2011,83.51176
CPV,2012,84.01289
CPV,2013,84.51824
CPV,2014,85.02776
CPV,2015,85.87881
CPV,2016,86.48798
CPV,2017,87.08321
KHM,2000,52.34763
KHM,2001,53.86402
KHM,2002,55.37462
KHM,2003,56.88014
KHM,2004,58.38566
KHM,2005,59.89115
KHM,2006,61.39634
KHM,2007,62.90147
KHM,2008,64.4164
KHM,2009,65.98395
KHM,2010,67.55123
KHM,2011,69.11819
KHM,2012,70.68475
KHM,2013,72.2506
KHM,2014,73.81615
KHM,2015,75.3811
KHM,2016,76.94537
KHM,2017,78.51066
CMR,2000,59.17722
CMR,2001,59.35527
CMR,2002,59.5176
CMR,2003,59.6639
CMR,2004,59.79475
CMR,2005,59.90897
CMR,2006,60.00761
CMR,2007,60.09083
CMR,2008,60.15876
CMR,2009,60.21116
CMR,2010,60.2486
CMR,2011,60.27082
CMR,2012,60.27799
CMR,2013,60.26988
CMR,2014,60.24668
CMR,2015,60.20856
CMR,2016,60.15572
CMR,2017,60.38486
CAN,2000,99.11182
CAN,2001,99.11573
CAN,2002,99.11665
CAN,2003,99.11758
CAN,2004,99.11849
CAN,2005,99.14313
CAN,2006,99.16786
CAN,2007,99.1935
CAN,2008,99.21899
CAN,2009,99.24432
CAN,2010,99.2695
CAN,2011,99.29436
CAN,2012,99.31808
CAN,2013,99.34177
CAN,2014,99.36541
CAN,2015,99.38903
CAN,2016,99.41262
CAN,2017,99.43624
CAF,2000,58.26147
CAF,2001,57.25076
CAF,2002,56.23397
CAF,2003,55.21073
CAF,2004,54.18106
CAF,2005,53.1523
CAF,2006,52.12411
CAF,2007,51.09652
CAF,2008,50.06883
CAF,2009,49.04075
CAF,2010,48.01232
CAF,2011,46.98291
CAF,2012,45.95258
CAF,2013,46.0378
CAF,2014,46.12954
CAF,2015,46.22808
CAF,2016,46.33376
CAF,2017,
TCD,2000,41.41298
TCD,2001,41.2723
TCD,2002,41.12691
TCD,2003,40.97767
TCD,2004,40.82414
TCD,2005,40.66631
TCD,2006,40.50416
TCD,2007,40.33812
TCD,2008,40.16732
TCD,2009,39.99219
TCD,2010,39.82036
TCD,2011,39.65167
TCD,2012,39.48639
TCD,2013,39.32389
TCD,2014,39.16402
TCD,2015,39.00699
TCD,2016,38.85259
TCD,2017,38.7006
CHL,2000,95.68061
CHL,2001,96.01058
CHL,2002,96.32163
CHL,2003,96.58852
CHL,2004,96.85381
CHL,2005,97.11694
CHL,2006,97.37846
CHL,2007,97.63802
CHL,2008,97.89596
CHL,2009,98.15199
CHL,2010,98.40616
CHL,2011,98.65868
CHL,2012,98.90936
CHL,2013,99.1583
CHL,2014,99.40007
CHL,2015,99.60089
CHL,2016,99.62218
CHL,2017,99.83279
CHN,2000,80.39258
CHN,2001,80.73117
CHN,2002,81.70317
CHN,2003,82.65153
CHN,2004,83.57525
CHN,2005,84.47221
CHN,2006,85.33264
CHN,2007,86.16128
CHN,2008,86.9636
CHN,2009,87.73784
CHN,2010,88.48477
CHN,2011,89.19269
CHN,2012,89.8685
CHN,2013,90.51711
CHN,2014,91.13934
CHN,2015,91.73492
CHN,2016,92.30405
CHN,2017,92.84614
COL,2000,90.93352
COL,2001,91.36841
COL,2002,91.79565
COL,2003,92.21532
COL,2004,92.6273
COL,2005,93.03168
COL,2006,93.4286
COL,2007,93.81797
COL,2008,94.20013
COL,2009,94.57518
COL,2010,94.94308
COL,2011,95.30396
COL,2012,95.65812
COL,2013,96.00555
COL,2014,96.34635
COL,2015,96.68085
COL,2016,96.96181
COL,2017,97.30011
COM,2000,90.94792
COM,2001,90.84136
COM,2002,90.00564
COM,2003,89.1716
COM,2004,88.33926
COM,2005,87.50908
COM,2006,86.68151
COM,2007,85.85699
COM,2008,85.03592
COM,2009,84.21875
COM,2010,83.40598
COM,2011,82.59788
COM,2012,81.79491
COM,2013,80.99757
COM,2014,80.20603
COM,2015,80.132
COM,2016,80.14886
COM,2017,80.16752
COG,2000,57.15587
COG,2001,57.46333
COG,2002,57.95336
COG,2003,58.44133
COG,2004,59.50973
COG,2005,60.57694
COG,2006,61.64257
COG,2007,62.70681
COG,2008,63.77039
COG,2009,64.83276
COG,2010,65.89391
COG,2011,66.95218
COG,2012,68.00757
COG,2013,69.05954
COG,2014,70.10705
COG,2015,71.14958
COG,2016,72.18665
COG,2017,73.21776
COK,2000,99.897
COK,2001,99.89565
COK,2002,99.89432
COK,2003,99.89298
COK,2004,99.89164
COK,2005,99.8903
COK,2006,99.88897
COK,2007,99.88763
COK,2008,99.88629
COK,2009,99.88495
COK,2010,99.88361
COK,2011,99.88228
COK,2012,99.88094
COK,2013,99.8796
COK,2014,99.8796
COK,2015,99.8796
COK,2016,99.8796
COK,2017,99.8796
CRI,2000,94.10867
CRI,2001,94.61195
CRI,2002,95.09359
CRI,2003,95.55385
